"Time","birds aren't real"
"2018-01-01",0
"2018-02-01",0
"2018-03-01",0
"2018-04-01",0
"2018-05-01",0
"2018-06-01",0
"2018-07-01",0
"2018-08-01",4
"2018-09-01",0
"2018-10-01",28
"2018-11-01",10
"2018-12-01",5
"2019-01-01",12
"2019-02-01",10
"2019-03-01",6
"2019-04-01",8
"2019-05-01",8
"2019-06-01",13
"2019-07-01",21
"2019-08-01",16
"2019-09-01",18
"2019-10-01",15
"2019-11-01",20
"2019-12-01",24
"2020-01-01",17
"2020-02-01",14
"2020-03-01",16
"2020-04-01",19
"2020-05-01",18
"2020-06-01",18
"2020-07-01",20
"2020-08-01",16
"2020-09-01",19
"2020-10-01",14
"2020-11-01",21
"2020-12-01",24
"2021-01-01",15
"2021-02-01",14
"2021-03-01",15
"2021-04-01",13
"2021-05-01",10
"2021-06-01",19
"2021-07-01",44
"2021-08-01",18
"2021-09-01",13
"2021-10-01",21
"2021-11-01",19
"2021-12-01",74
"2022-01-01",64
"2022-02-01",63
"2022-03-01",38
"2022-04-01",40
"2022-05-01",100
"2022-06-01",30
"2022-07-01",22
"2022-08-01",18
"2022-09-01",15
"2022-10-01",25
"2022-11-01",15
"2022-12-01",13
"2023-01-01",12
"2023-02-01",13
"2023-03-01",11
"2023-04-01",11
"2023-05-01",10
"2023-06-01",10
"2023-07-01",13
"2023-08-01",15
"2023-09-01",16
"2023-10-01",15
"2023-11-01",15
"2023-12-01",20
"2024-01-01",14
"2024-02-01",18
"2024-03-01",17
"2024-04-01",18
"2024-05-01",18
"2024-06-01",18
"2024-07-01",12
"2024-08-01",12
"2024-09-01",13
"2024-10-01",13
"2024-11-01",11
"2024-12-01",16
"2025-01-01",15
"2025-02-01",12
"2025-03-01",12
"2025-04-01",10
"2025-05-01",10
"2025-06-01",8
"2025-07-01",8
"2025-08-01",9
"2025-09-01",10
"2025-10-01",9
"2025-11-01",10
"2025-12-01",9
"2026-01-01",8
"2026-02-01",7